iter	Passed	Remaining
1145	677	2276
1146	677	2275
1147	677	2274
1148	678	2273
1149	678	2272
1150	679	2272
1151	679	2271
1152	680	2270
1153	680	2269
1154	681	2268
1155	681	2267
1156	682	2266
1157	682	2265
1158	683	2264
1159	683	2263
1160	684	2262
1161	684	2261
1162	685	2261
1163	685	2260
1164	686	2259
1165	686	2258
1166	687	2257
1167	687	2256
1168	688	2255
1169	688	2255
1170	689	2254
1171	689	2252
1172	689	2250
1173	690	2249
1174	690	2248
1175	691	2247
1176	691	2246
1177	692	2245
1178	692	2244
1179	693	2243
1180	693	2242
1181	693	2241
1182	694	2240
1183	694	2239
1184	695	2239
1185	695	2238
1186	696	2237
1187	696	2236
1188	697	2234
1189	697	2233
1190	698	2232
1191	698	2231
1192	698	2230
1193	699	2229
1194	700	2228
1195	700	2228
1196	701	2228
1197	701	2227
1198	702	2226
1199	702	2225
1200	703	2225
1201	704	2224
1202	704	2223
1203	704	2222
1204	705	2221
1205	705	2220
1206	706	2219
1207	706	2218
1208	707	2218
1209	707	2217
1210	708	2216
1211	708	2215
1212	709	2215
1213	710	2214
1214	710	2213
1215	711	2212
1216	711	2211
1217	711	2210
1218	712	2209
1219	712	2208
1220	713	2208
1221	713	2207
1222	714	2206
1223	714	2205
1224	716	2206
1225	716	2205
1226	716	2204
1227	717	2203
1228	717	2202
1229	718	2202
1230	719	2201
1231	719	2200
1232	720	2199
1233	720	2198
1234	720	2197
1235	721	2196
1236	721	2195
1237	722	2195
1238	722	2194
1239	723	2193
1240	723	2192
1241	724	2191
1242	724	2190
1243	725	2189
1244	725	2188
1245	725	2186
1246	726	2185
1247	726	2184
1248	727	2184
1249	727	2183
1250	728	2182
1251	728	2181
1252	729	2180
1253	729	2179
1254	730	2178
1255	730	2178
1256	731	2177
1257	731	2176
1258	732	2175
1259	732	2174
1260	733	2173
1261	733	2173
1262	734	2172
1263	734	2171
1264	735	2170
1265	735	2169
1266	736	2168
1267	736	2167
1268	737	2166
1269	737	2166
1270	738	2165
1271	738	2164
1272	738	2163
1273	739	2162
1274	739	2161
1275	740	2160
1276	740	2159
